case_id,label,basis_residual,basis_explained,rank,condition,tracking_full_m,tracking_endpoint_m,tracking_history_m,tracking_gap_recovery,position_endpoint_m,position_propagation_m,position_history_m,velocity_endpoint_m_s,velocity_propagation_m_s,velocity_history_m_s,prediction_endpoint_010_m,prediction_endpoint_020_m,prediction_endpoint_030_m,prediction_propagation_010_m,prediction_propagation_020_m,prediction_propagation_030_m,prediction_history_010_m,prediction_history_020_m,prediction_history_030_m,history_rmse_before_m,history_rmse_after_m,accepted_updates,rejected_updates,iterations,q_norm,trust_saturations,bound_saturations,observer_time_ms
clean,clean,0.0,1.0,18.0,351391.2863976719,0.01750576196143131,0.028082820349702768,0.01788965103043214,0.9637054977944993,0.02782666912773659,1.5873708461849516e-07,1.5873708461849516e-07,0.29502619766100463,2.045154620680623e-06,2.045154620680623e-06,0.050877263700183625,0.07067136559457995,0.08708219199312786,3.2348558394952506e-07,3.291394435073996e-07,3.6058538098109206e-07,3.2348558394952506e-07,3.291394435073996e-07,3.6058538098109206e-07,1.3896107465270424e-07,1.3896107465270424e-07,0.0,17.0,0.0,0.0,0.0,0.0,10.88219411630074
sin1,sin(πs),4.0061691117587627e-16,1.0,18.0,317002.685082741,0.0321498190742763,0.04205475031713795,0.03788594919897001,0.4208813787750761,0.025364797427436612,0.021311584095624624,0.009246947215983053,0.2692902910173692,0.09767490280753376,0.05859458027627453,0.051048415051316985,0.08346245676825693,0.09653216354577476,0.04112622995221923,0.03940986322759483,0.03617450402198316,0.010676089504981601,0.01470120768463593,0.01443121575356915,0.004361675507612961,0.001757604727950757,17.0,0.0,2.0,0.14008793586288243,0.0,0.0,22.18297646750751
sin2,sin(2πs),2.0719606410576746e-16,1.0,18.0,244831.9628683541,0.022008652803921204,0.03709552104712178,0.02370672541295321,0.8874469782821028,0.02605425033323443,0.012859242172938953,0.004976362467857885,0.274902378499922,0.061440407421435014,0.04311259194396465,0.050160991861133264,0.07511704952583557,0.08414085044437157,0.02236704831565183,0.021391435485302396,0.020987199499143235,0.0034503326176555655,0.004677129659884872,0.0048078646019744835,0.0026983112862253265,0.0009444665400152675,17.0,0.0,2.0,0.08277801041176604,0.0,0.0,22.31554117786479
sin3,sin(3πs),3.134790480103411e-16,1.0,19.0,237887.43091437215,0.02010080059205548,0.03790296579948906,0.02271099867850739,0.8533774933533378,0.03263676224571366,0.007877822753344567,0.0038033945361808674,0.3435062366318256,0.04313880145143448,0.034485364821035,0.060849850558811376,0.0923726984335791,0.09742320486739947,0.012737983158468595,0.01226503535522014,0.012250683457361106,0.004020157718069243,0.006081471143189863,0.006691290752567134,0.0025750792727799524,0.0008453666216791397,17.0,0.0,2.0,0.08248941860413252,0.0,0.0,21.960770586327484
sin4,sin(4πs),0.959397843707055,0.07955577749025311,18.0,368383.28303371347,0.02162315182729016,0.025337583206264686,0.017435882621654936,2.127297499514243,0.026466118675295462,0.005870601182257918,0.0027452139515097454,0.29835260518635426,0.033753133807220774,0.027586741068639165,0.05744616515922897,0.08762282510684122,0.09519262244272617,0.009777334858252237,0.009494017602949966,0.00944984081129193,0.002563993684977458,0.004003397544772683,0.004744819264570087,0.0018659462375994625,0.0006415967763299731,17.0,0.0,2.0,0.059593595727252306,0.0,0.0,22.210017646156142
sin5,sin(5πs),0.9787774851777299,0.041994634509158746,18.0,370797.36444589816,0.018074296107603582,0.03527721926003283,0.01776403727175363,1.0180352393079277,0.03153764555896477,0.004095057425258023,0.0020762006259601694,0.34648452923432416,0.027424372732943316,0.023793692106872665,0.06452854349911002,0.09807041510875028,0.11282527731577352,0.00660431118210826,0.006409161730752989,0.0064066256557730435,0.0021263417445328585,0.0033220238445699295,0.003938440931044982,0.0014742355199997507,0.000496061499371558,17.0,0.0,2.0,0.04729516082118363,0.0,0.0,22.107064703424626
represented_mixture,represented mix,2.682337805635217e-16,1.0,18.0,329524.6542382044,0.03613212833024697,0.057132626023347406,0.0408915384720624,0.7733667929508593,0.03163662213114029,0.024531234362316887,0.009144140430107693,0.38366557698902176,0.10144522656565072,0.05509184837721586,0.06870708440316273,0.08910511485780635,0.09542185908229904,0.04525144476720084,0.04294894223746968,0.04009188010894049,0.006351690893535329,0.008377766233038127,0.008488967344149584,0.003580610708803957,0.0009493419921767142,17.0,0.0,2.0,0.10861024264152842,0.0,0.0,21.67958824087263
mixed_span,mixed span,0.453662008492783,0.794190782050294,19.0,284246.30558391387,0.028081910698984937,0.051069834535351494,0.03356190189541421,0.7616143486711918,0.03361681289511097,0.01811359673760019,0.007826594730038463,0.3589811615169632,0.08301329829784797,0.051423382541955553,0.07930599822774365,0.11498640985966375,0.128974852116609,0.03459004228684096,0.03298540123008389,0.030306021526600977,0.008369067359894854,0.011522669931619711,0.011793894854889464,0.003670806725452101,0.0014694131930033365,17.0,0.0,2.0,0.11942673249849266,0.0,0.0,22.33999999760486
random_smooth,random smooth,0.39715417217172677,0.8422685635265904,18.0,325249.5363428094,0.025302745334376407,0.031955062048359996,0.02490301618850716,1.0600887124073617,0.022698904848870095,0.010823160304057472,0.0059264852207059175,0.23723512214291226,0.06040005454371503,0.043732149933354426,0.043191927481953565,0.06276296788271822,0.06165430565889914,0.021508431374130832,0.02073514068788117,0.018665353770708305,0.008301570541638435,0.011748314603655542,0.011735918812091205,0.003119849207617204,0.0013714889250335434,17.0,0.0,2.0,0.10277841854223814,0.0,0.0,22.00138823451091
