preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_nominal {'update': 6, 'loss': 5.351350514965343, 'best_loss': 5.351350514965343}
drone_nominal {'update': 7, 'loss': 5.350280996462645, 'best_loss': 5.350280996462645}
drone_nominal {'update': 8, 'loss': 5.349925356654873, 'best_loss': 5.349925356654873}
drone_nominal {'update': 9, 'loss': 5.34980903596301, 'best_loss': 5.34980903596301}
drone_nominal {'update': 10, 'loss': 5.3497690150369515, 'best_loss': 5.3497690150369515}
attitude response {'windows': 81}
attitude response {'update': 1, 'loss': 0.8618037139822402, 'best_loss': 0.8618037139822402}
attitude response {'update': 2, 'loss': 0.8609292589952013, 'best_loss': 0.8609292589952013}
attitude response {'update': 3, 'loss': 0.8608732411623453, 'best_loss': 0.8608732411623453}
attitude response {'update': 4, 'loss': 0.8608695629734907, 'best_loss': 0.8608695629734907}
attitude response {'update': 5, 'loss': 0.8608692910061078, 'best_loss': 0.8608692910061078}
drone_residual graph preparation {'windows': 81}
[W914 23:08:28.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
drone_residual {'update': 1, 'best_loss': 2.1213661670611126, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 2, 'best_loss': 2.1213661670611126, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 3, 'best_loss': 2.1213661670611126, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 4, 'best_loss': 2.1213661670611126, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 5, 'best_loss': 2.1213661670611126, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 6, 'best_loss': 2.0264851557500974, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 7, 'best_loss': 2.0264851557500974, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 8, 'best_loss': 2.0264851557500974, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 9, 'best_loss': 2.0264851557500974, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 10, 'best_loss': 2.0264851557500974, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 11, 'best_loss': 2.008225558839395, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 12, 'best_loss': 2.008225558839395, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 13, 'best_loss': 2.008225558839395, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 14, 'best_loss': 2.008225558839395, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 15, 'best_loss': 2.008225558839395, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 16, 'best_loss': 1.99452105259721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 17, 'best_loss': 1.99452105259721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 18, 'best_loss': 1.99452105259721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 19, 'best_loss': 1.99452105259721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 20, 'best_loss': 1.99452105259721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 21, 'best_loss': 1.987815642607745, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 22, 'best_loss': 1.987815642607745, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 23, 'best_loss': 1.987815642607745, 'stopping': 'practical plateau; no update ceiling'}
