pass,candidate,log10_EI,log10_Cb,EI,Cb,objective,invalid,fig8_001_loss,fig8_002_loss,fig8vertical_001_loss,osc_001_loss,osc_002_loss
2,0,-4.707048226383747,-3.134778920809416,1.963142266907124e-05,0.0007331976751078716,0.00011110377818113193,False,5.9504647651920095e-05,0.0002962691360153258,5.917910311836749e-05,8.044103014981374e-05,6.0125021263957024e-05
2,1,-4.707048226383747,-2.8239087409443187,1.963142266907124e-05,0.0015000000000000005,9.54729039222002e-05,False,5.830102600157261e-05,0.00022200442617759109,5.82212014705874e-05,8.001931564649567e-05,5.8818543038796633e-05
2,2,-4.707048226383747,-2.513038561079221,1.963142266907124e-05,0.003068749501516041,8.131333015626296e-05,False,5.807914931210689e-05,0.00014393012679647654,5.8654008171288297e-05,8.727497333893552e-05,5.8628418628359213e-05
2,3,-4.707048226383747,-2.2021683812141237,1.963142266907124e-05,0.0062781490020366315,0.00010970644507324323,False,6.544208736158907e-05,0.00016908823454286903,7.150073361117393e-05,0.00017719635798130184,6.530484097311273e-05
2,4,-4.707048226383747,-1.8912982013490263,1.963142266907124e-05,0.012844044413628892,0.0003625725512392819,False,0.0001946109696291387,0.00038007585681043565,0.0001869779807748273,0.0006644778768531978,0.0003867200284730643
2,5,-4.707048226383747,-1.5804280214839288,1.963142266907124e-05,0.026276769927849025,0.0004451170680113137,False,0.0004136939242016524,0.0002907590242102742,0.00034386839251965284,0.0005980965215712786,0.0005791675066575408
2,6,-4.707048226383747,-1.2695578416188313,1.963142266907124e-05,0.053757883078358916,0.0003968000819440931,False,0.0002635675191413611,0.0003857329720631242,0.0003165593952871859,0.0005525750457309186,0.00046556550660170615
2,7,-4.707048226383747,-0.9586876617537339,1.963142266907124e-05,0.10997965126618099,0.0003607674443628639,False,0.0002777018817141652,0.000332385505316779,0.00026611919747665524,0.0005443327245302498,0.00038329800008796155
2,8,-4.539035189375792,-3.134778920809416,2.8904456700879432e-05,0.0007331976751078716,0.00011005124542862177,False,5.9316877013770863e-05,0.0002930857881437987,5.87048998568207e-05,7.925580575829372e-05,5.989286000840366e-05
2,9,-4.539035189375792,-2.8239087409443187,2.8904456700879432e-05,0.0015000000000000005,9.410084021510556e-05,False,5.884844722459093e-05,0.0002134224632754922,5.8239475038135424e-05,8.06143507361412e-05,5.93794793530833e-05
2,10,-4.539035189375792,-2.513038561079221,2.8904456700879432e-05,0.003068749501516041,8.416840864811093e-05,False,5.80669948249124e-05,0.00014830804138910025,5.759134728577919e-05,9.842879808275029e-05,5.844682891620323e-05
2,11,-4.539035189375792,-2.2021683812141237,2.8904456700879432e-05,0.0062781490020366315,0.00012784669524990022,False,6.164558726595715e-05,0.00027863081777468324,7.901908247731626e-05,0.00015777703083585948,6.216092879185453e-05
2,12,-4.539035189375792,-1.8912982013490263,2.8904456700879432e-05,0.012844044413628892,0.00031637787469662726,False,0.00027160558965988457,0.00028453359846025705,0.0001663690636632964,0.0005790528957732022,0.0002803282695822418
2,13,-4.539035189375792,-1.5804280214839288,2.8904456700879432e-05,0.026276769927849025,0.0004930567229166627,False,0.0004488670965656638,0.0004220948030706495,0.0003605892416089773,0.0007083181408233941,0.0005254142452031374
2,14,-4.539035189375792,-1.2695578416188313,2.8904456700879432e-05,0.053757883078358916,0.00038417053292505443,False,0.00024021790886763483,0.000327723246300593,0.0003353564825374633,0.0005832233582623303,0.00043433153769001365
2,15,-4.539035189375792,-0.9586876617537339,2.8904456700879432e-05,0.10997965126618099,0.00035405103699304163,False,0.0002738899493124336,0.00032361599733121693,0.0002793032908812165,0.0005241524777375162,0.0003692933532875031
2,16,-4.371022152367837,-3.134778920809416,4.255767048861253e-05,0.0007331976751078716,0.00011063450801884755,False,5.959889313089661e-05,0.0002940630365628749,5.8466135669732466e-05,8.121245627989992e-05,5.9832047554664314e-05
2,17,-4.371022152367837,-2.8239087409443187,4.255767048861253e-05,0.0015000000000000005,9.70854889601469e-05,False,5.883811172679998e-05,0.00022904171783011407,5.812376912217587e-05,8.046482980716974e-05,5.895904905628413e-05
2,18,-4.371022152367837,-2.513038561079221,4.255767048861253e-05,0.003068749501516041,8.172849629772827e-05,False,5.853045513504185e-05,0.00014117061800789088,5.791110743302852e-05,9.178073378279805e-05,5.924957440583967e-05
2,19,-4.371022152367837,-2.2021683812141237,4.255767048861253e-05,0.0062781490020366315,0.00014349039702210575,False,6.374763324856758e-05,0.0002862683613784611,8.885255374480039e-05,0.00019318047270644456,8.540297130821273e-05
2,20,-4.371022152367837,-1.8912982013490263,4.255767048861253e-05,0.012844044413628892,0.0003025480837095529,False,0.00014319828187581152,0.000352528557414189,0.00015898737183306366,0.0004891885910183191,0.00036883761640638113
2,21,-4.371022152367837,-1.5804280214839288,4.255767048861253e-05,0.026276769927849025,0.0004594314959831536,False,0.0003975525905843824,0.00035335650318302214,0.0003644165408331901,0.0007090580184012651,0.00047277368139475584
2,22,-4.371022152367837,-1.2695578416188313,4.255767048861253e-05,0.053757883078358916,0.0003767634043470025,False,0.00024144272902049124,0.00034738899557851255,0.0002881712280213833,0.0005954134976491332,0.00041140051325783134
2,23,-4.371022152367837,-0.9586876617537339,4.255767048861253e-05,0.10997965126618099,0.00036965272738598287,False,0.00028705503791570663,0.00036612077383324504,0.0002779760689008981,0.0005462057888507843,0.00037090590922161937
2,24,-4.203009115359883,-3.134778920809416,6.266007128797605e-05,0.0007331976751078716,0.00011000430822605267,False,5.9617352235363796e-05,0.0002894447825383395,5.906584192416631e-05,8.218395669246092e-05,5.97095895500388e-05
2,25,-4.203009115359883,-2.8239087409443187,6.266007128797605e-05,0.0015000000000000005,9.513820259599015e-05,False,5.840563972014934e-05,0.00021821513655595481,5.793841046397574e-05,8.17407708382234e-05,5.9391051763668656e-05
2,26,-4.203009115359883,-2.513038561079221,6.266007128797605e-05,0.003068749501516041,8.270650869235396e-05,False,5.838186189066619e-05,0.00014458461373578757,5.921524643781595e-05,9.142504131887108e-05,5.9925812820438296e-05
2,27,-4.203009115359883,-2.2021683812141237,6.266007128797605e-05,0.0062781490020366315,0.0001220914418809116,False,6.168936670292169e-05,0.00015307935245800763,8.35302344057709e-05,0.00023190604406408966,8.025221904972568e-05
2,28,-4.203009115359883,-1.8912982013490263,6.266007128797605e-05,0.012844044413628892,0.00033285372774116695,False,0.00016792913083918393,0.00035036905319429934,0.00015922138118185103,0.0006020354339852929,0.0003847137268166989
2,29,-4.203009115359883,-1.5804280214839288,6.266007128797605e-05,0.026276769927849025,0.00048621330643072724,False,0.0004155481874477118,0.0004452187567949295,0.00029412980074994266,0.0007089083665050566,0.0005672614206559956
2,30,-4.203009115359883,-1.2695578416188313,6.266007128797605e-05,0.053757883078358916,0.0003778350946959108,False,0.0002536134561523795,0.0003955372085329145,0.00032759521855041385,0.0005394670879468322,0.000372962502297014
2,31,-4.203009115359883,-0.9586876617537339,6.266007128797605e-05,0.10997965126618099,0.00033986923517659307,False,0.00023174125817604363,0.00032428596750833094,0.00025610256125219166,0.0005355713074095547,0.00035164502332918346
2,32,-4.034996078351928,-3.134778920809416,9.225797579462985e-05,0.0007331976751078716,0.00011083683784818277,False,5.947529643890448e-05,0.0002947631583083421,5.887555380468257e-05,8.146101026795805e-05,5.960915586911142e-05
2,33,-4.034996078351928,-2.8239087409443187,9.225797579462985e-05,0.0015000000000000005,9.610241249902174e-05,False,5.858359145349823e-05,0.0002223253541160375,5.7680732425069436e-05,8.290445111924782e-05,5.90179261052981e-05
2,34,-4.034996078351928,-2.513038561079221,9.225797579462985e-05,0.003068749501516041,9.074521949514747e-05,False,5.745987800764851e-05,0.00017609281348995864,6.13826050539501e-05,9.952035907190293e-05,5.927042366238311e-05
2,35,-4.034996078351928,-2.2021683812141237,9.225797579462985e-05,0.0062781490020366315,0.00013758346904069185,False,6.617303006350994e-05,0.00021853578800801188,8.598179556429386e-05,0.00019749844796024263,0.00011972833453910425
2,36,-4.034996078351928,-1.8912982013490263,9.225797579462985e-05,0.012844044413628892,0.0003247772401664406,False,0.00014810402353759855,0.000313367519993335,0.00018980623281095177,0.0005482953856699169,0.0004243129806127399
2,37,-4.034996078351928,-1.5804280214839288,9.225797579462985e-05,0.026276769927849025,0.00046862527960911393,False,0.0003548150707501918,0.00037316864472813904,0.0003480859159026295,0.0007051396532915533,0.0005619172006845474
2,38,-4.034996078351928,-1.2695578416188313,9.225797579462985e-05,0.053757883078358916,0.0004108619468752295,False,0.0002761268406175077,0.00041655072709545493,0.00030705472454428673,0.0006263680406846106,0.00042820937233045697
2,39,-4.034996078351928,-0.9586876617537339,9.225797579462985e-05,0.10997965126618099,0.000354654184775427,False,0.0002691764966584742,0.0003513181582093239,0.0002794934844132513,0.0005048394668847322,0.00036844323039986193
2,40,-3.8669830413439734,-3.134778920809416,0.00013583664880629958,0.0007331976751078716,0.0001113518956117332,False,5.975574458716437e-05,0.0002956219541374594,5.8801640989258885e-05,8.274721767520532e-05,5.983292794553563e-05
2,41,-3.8669830413439734,-2.8239087409443187,0.00013583664880629958,0.0015000000000000005,9.670562576502562e-05,False,5.878105730516836e-05,0.00022584394901059568,5.78577964915894e-05,8.286607771879062e-05,5.817923374706879e-05
2,42,-3.8669830413439734,-2.513038561079221,0.00013583664880629958,0.003068749501516041,8.293376595247537e-05,False,5.828904977533966e-05,0.00014459274825640023,5.801151201012544e-05,9.530656097922474e-05,5.846893691341393e-05
2,43,-3.8669830413439734,-2.2021683812141237,0.00013583664880629958,0.0062781490020366315,0.00011686990183079615,False,7.190882752183825e-05,0.00021607076632790267,6.751777254976332e-05,0.00015823643479961902,7.061567157506943e-05
