preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_nominal {'update': 1, 'loss': 3.1692237846874507, 'best_loss': 3.1692237846874507}
drone_nominal {'update': 2, 'loss': 2.9642902662385855, 'best_loss': 2.9642902662385855}
drone_nominal {'update': 3, 'loss': 2.9379150132822454, 'best_loss': 2.9379150132822454}
drone_nominal {'update': 4, 'loss': 2.93241950697675, 'best_loss': 2.93241950697675}
drone_nominal {'update': 5, 'loss': 2.931046663368723, 'best_loss': 2.931046663368723}
drone_nominal {'update': 6, 'loss': 2.930677309173997, 'best_loss': 2.930677309173997}
drone_nominal {'update': 7, 'loss': 2.93057279057222, 'best_loss': 2.93057279057222}
drone_nominal {'update': 8, 'loss': 2.930542040799805, 'best_loss': 2.930542040799805}
drone_nominal {'update': 9, 'loss': 2.930532715686551, 'best_loss': 2.930532715686551}
drone_nominal {'delay_s': 0.01, 'windows': 81}
drone_nominal {'update': 1, 'loss': 2.852387057803087, 'best_loss': 2.852387057803087}
drone_nominal {'update': 2, 'loss': 2.6499533447337162, 'best_loss': 2.6499533447337162}
drone_nominal {'update': 3, 'loss': 2.6282818896534907, 'best_loss': 2.6282818896534907}
drone_nominal {'update': 4, 'loss': 2.624796526447938, 'best_loss': 2.624796526447938}
drone_nominal {'update': 5, 'loss': 2.6241375553490567, 'best_loss': 2.6241375553490567}
drone_nominal {'update': 6, 'loss': 2.624009424717936, 'best_loss': 2.624009424717936}
drone_nominal {'update': 7, 'loss': 2.6239841837993763, 'best_loss': 2.6239841837993763}
drone_nominal {'update': 8, 'loss': 2.623979167559002, 'best_loss': 2.623979167559002}
drone_nominal {'update': 9, 'loss': 2.6239781636800896, 'best_loss': 2.6239781636800896}
drone_nominal {'delay_s': 0.02, 'windows': 81}
drone_nominal {'update': 1, 'loss': 2.439959943344123, 'best_loss': 2.439959943344123}
drone_nominal {'update': 2, 'loss': 2.3856836647248594, 'best_loss': 2.3856836647248594}
drone_nominal {'update': 3, 'loss': 2.378826053052227, 'best_loss': 2.378826053052227}
drone_nominal {'update': 4, 'loss': 2.377770937427076, 'best_loss': 2.377770937427076}
drone_nominal {'update': 5, 'loss': 2.3775995156549117, 'best_loss': 2.3775995156549117}
drone_nominal {'update': 6, 'loss': 2.377570669352346, 'best_loss': 2.377570669352346}
drone_nominal {'update': 7, 'loss': 2.3775656813905512, 'best_loss': 2.3775656813905512}
drone_nominal {'update': 8, 'loss': 2.3775647990917173, 'best_loss': 2.3775647990917173}
drone_nominal {'delay_s': 0.03, 'windows': 81}
drone_nominal {'update': 1, 'loss': 2.2287178612511167, 'best_loss': 2.2287178612511167}
drone_nominal {'update': 2, 'loss': 2.218542395575118, 'best_loss': 2.218542395575118}
drone_nominal {'update': 3, 'loss': 2.2171580309140966, 'best_loss': 2.2171580309140966}
drone_nominal {'update': 4, 'loss': 2.2169568815459852, 'best_loss': 2.2169568815459852}
