Evaluating frozen parent before any update {}
combined validation M0
[W914 21:33:23.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 80}
drone_nominal {'update': 5, 'loss': 4.733624557490015, 'best_loss': 4.733624557490015}
drone_nominal {'update': 6, 'loss': 4.727616613317397, 'best_loss': 4.727616613317397}
drone_nominal {'update': 7, 'loss': 4.725205599933206, 'best_loss': 4.725205599933206}
drone_nominal {'update': 8, 'loss': 4.724230665019855, 'best_loss': 4.724230665019855}
drone_nominal {'update': 9, 'loss': 4.7238335244088105, 'best_loss': 4.7238335244088105}
drone_nominal {'update': 10, 'loss': 4.723669191744388, 'best_loss': 4.723669191744388}
drone_nominal {'update': 11, 'loss': 4.723600266161261, 'best_loss': 4.723600266161261}
drone_nominal {'delay_s': 0.1, 'windows': 80}
drone_nominal {'update': 1, 'loss': 6.318651367767666, 'best_loss': 6.318651367767666}
drone_nominal {'update': 2, 'loss': 5.722062069754356, 'best_loss': 5.722062069754356}
drone_nominal {'update': 3, 'loss': 5.580398983008377, 'best_loss': 5.580398983008377}
drone_nominal {'update': 4, 'loss': 5.529359078248459, 'best_loss': 5.529359078248459}
drone_nominal {'update': 5, 'loss': 5.50861313414182, 'best_loss': 5.50861313414182}
drone_nominal {'update': 6, 'loss': 5.4998951103951415, 'best_loss': 5.4998951103951415}
drone_nominal {'update': 7, 'loss': 5.496183003348758, 'best_loss': 5.496183003348758}
drone_nominal {'update': 8, 'loss': 5.494598965034565, 'best_loss': 5.494598965034565}
drone_nominal {'update': 9, 'loss': 5.493924281599413, 'best_loss': 5.493924281599413}
drone_nominal {'update': 10, 'loss': 5.49363456764184, 'best_loss': 5.49363456764184}
drone_nominal {'update': 11, 'loss': 5.493508837235727, 'best_loss': 5.493508837235727}
drone_nominal {'update': 12, 'loss': 5.493453825343031, 'best_loss': 5.493453825343031}
drone_nominal {'update': 13, 'loss': 5.493429633882653, 'best_loss': 5.493429633882653}
drone_nominal {'update': 14, 'loss': 5.493418967485373, 'best_loss': 5.493418967485373}
drone_nominal {'delay_s': 0.12, 'windows': 80}
drone_nominal {'update': 1, 'loss': 7.496036251216308, 'best_loss': 7.496036251216308}
drone_nominal {'update': 2, 'loss': 6.803002610985337, 'best_loss': 6.803002610985337}
drone_nominal {'update': 3, 'loss': 6.630489903017694, 'best_loss': 6.630489903017694}
drone_nominal {'update': 4, 'loss': 6.562417766154262, 'best_loss': 6.562417766154262}
drone_nominal {'update': 5, 'loss': 6.532818569554244, 'best_loss': 6.532818569554244}
drone_nominal {'update': 6, 'loss': 6.519602824434766, 'best_loss': 6.519602824434766}
drone_nominal {'update': 7, 'loss': 6.513581810611234, 'best_loss': 6.513581810611234}
drone_nominal {'update': 8, 'loss': 6.5108132804944745, 'best_loss': 6.5108132804944745}
drone_nominal {'update': 9, 'loss': 6.509544880119753, 'best_loss': 6.509544880119753}
drone_nominal {'update': 10, 'loss': 6.508969070115044, 'best_loss': 6.508969070115044}
drone_nominal {'update': 11, 'loss': 6.508708194227575, 'best_loss': 6.508708194227575}
drone_nominal {'update': 12, 'loss': 6.50858974688564, 'best_loss': 6.50858974688564}
drone_nominal {'update': 13, 'loss': 6.508535684223168, 'best_loss': 6.508535684223168}
attitude response {'windows': 80}
attitude response {'update': 1, 'loss': 1.4581199696680442, 'best_loss': 1.4581199696680442}
attitude response {'update': 2, 'loss': 1.2929122396557295, 'best_loss': 1.2929122396557295}
attitude response {'update': 3, 'loss': 1.2722268540958817, 'best_loss': 1.2722268540958817}
attitude response {'update': 4, 'loss': 1.270006519467737, 'best_loss': 1.270006519467737}
attitude response {'update': 5, 'loss': 1.2697953402444726, 'best_loss': 1.2697953402444726}
attitude response {'update': 6, 'loss': 1.2697756440012895, 'best_loss': 1.2697756440012895}
attitude response {'update': 7, 'loss': 1.2697737447835094, 'best_loss': 1.2697737447835094}
attitude response {'update': 8, 'loss': 1.269773553359657, 'best_loss': 1.269773553359657}
drone_residual graph preparation {'windows': 80}
drone_residual {'update': 1, 'best_loss': 4.128506131402101, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 2, 'best_loss': 4.128506131402101, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 3, 'best_loss': 4.128506131402101, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 4, 'best_loss': 4.128506131402101, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 5, 'best_loss': 4.128506131402101, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 6, 'best_loss': 3.9498727049265083, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 7, 'best_loss': 3.9498727049265083, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 8, 'best_loss': 3.9498727049265083, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 9, 'best_loss': 3.9498727049265083, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 10, 'best_loss': 3.9498727049265083, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 11, 'best_loss': 3.815135873029625, 'stopping': 'practical plateau; no update ceiling'}
