preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 80}
drone_nominal {'update': 1, 'loss': 3.33586862715714, 'best_loss': 3.33586862715714}
drone_nominal {'update': 2, 'loss': 3.2317398414712986, 'best_loss': 3.2317398414712986}
drone_nominal {'update': 3, 'loss': 3.214957374102069, 'best_loss': 3.214957374102069}
drone_nominal {'update': 4, 'loss': 3.2114192627264107, 'best_loss': 3.2114192627264107}
drone_nominal {'update': 5, 'loss': 3.210539475535614, 'best_loss': 3.210539475535614}
drone_nominal {'update': 6, 'loss': 3.2103057591668502, 'best_loss': 3.2103057591668502}
drone_nominal {'update': 7, 'loss': 3.2102419209864426, 'best_loss': 3.2102419209864426}
drone_nominal {'update': 8, 'loss': 3.2102241314548765, 'best_loss': 3.2102241314548765}
drone_nominal {'update': 9, 'loss': 3.210219074565701, 'best_loss': 3.210219074565701}
drone_nominal {'delay_s': 0.01, 'windows': 80}
drone_nominal {'update': 1, 'loss': 3.1144604796148943, 'best_loss': 3.1144604796148943}
drone_nominal {'update': 2, 'loss': 2.9465390902218984, 'best_loss': 2.9465390902218984}
drone_nominal {'update': 3, 'loss': 2.9189876190847706, 'best_loss': 2.9189876190847706}
drone_nominal {'update': 4, 'loss': 2.913949377690418, 'best_loss': 2.913949377690418}
drone_nominal {'update': 5, 'loss': 2.912900137920969, 'best_loss': 2.912900137920969}
drone_nominal {'update': 6, 'loss': 2.9126738781168324, 'best_loss': 2.9126738781168324}
drone_nominal {'update': 7, 'loss': 2.9126244359704327, 'best_loss': 2.9126244359704327}
drone_nominal {'update': 8, 'loss': 2.912613520742202, 'best_loss': 2.912613520742202}
drone_nominal {'update': 9, 'loss': 2.9126110866405113, 'best_loss': 2.9126110866405113}
drone_nominal {'delay_s': 0.02, 'windows': 80}
drone_nominal {'update': 1, 'loss': 2.8007335477959643, 'best_loss': 2.8007335477959643}
drone_nominal {'update': 2, 'loss': 2.686998046500272, 'best_loss': 2.686998046500272}
drone_nominal {'update': 3, 'loss': 2.669187964457272, 'best_loss': 2.669187964457272}
drone_nominal {'update': 4, 'loss': 2.666196689366036, 'best_loss': 2.666196689366036}
drone_nominal {'update': 5, 'loss': 2.6656389732356827, 'best_loss': 2.6656389732356827}
drone_nominal {'update': 6, 'loss': 2.6655295302987128, 'best_loss': 2.6655295302987128}
drone_nominal {'update': 7, 'loss': 2.665507520554188, 'best_loss': 2.665507520554188}
drone_nominal {'update': 8, 'loss': 2.6655030267518174, 'best_loss': 2.6655030267518174}
drone_nominal {'update': 9, 'loss': 2.66550209933906, 'best_loss': 2.66550209933906}
drone_nominal {'delay_s': 0.03, 'windows': 80}
drone_nominal {'update': 1, 'loss': 2.537648221605626, 'best_loss': 2.537648221605626}
drone_nominal {'update': 2, 'loss': 2.498493761467213, 'best_loss': 2.498493761467213}
drone_nominal {'update': 3, 'loss': 2.492698910174255, 'best_loss': 2.492698910174255}
drone_nominal {'update': 4, 'loss': 2.4918116083069766, 'best_loss': 2.4918116083069766}
drone_nominal {'update': 5, 'loss': 2.491664419074924, 'best_loss': 2.491664419074924}
drone_nominal {'update': 6, 'loss': 2.491638497408931, 'best_loss': 2.491638497408931}
drone_nominal {'update': 7, 'loss': 2.4916337669228756, 'best_loss': 2.4916337669228756}
drone_nominal {'update': 8, 'loss': 2.491632884415379, 'best_loss': 2.491632884415379}
drone_nominal {'delay_s': 0.04, 'windows': 80}
drone_nominal {'update': 1, 'loss': 2.424422345236136, 'best_loss': 2.424422345236136}
drone_nominal {'update': 2, 'loss': 2.4146753798462077, 'best_loss': 2.4146753798462077}
drone_nominal {'update': 3, 'loss': 2.413335686220693, 'best_loss': 2.413335686220693}
drone_nominal {'update': 4, 'loss': 2.4131492898229636, 'best_loss': 2.4131492898229636}
drone_nominal {'update': 5, 'loss': 2.413121958066828, 'best_loss': 2.413121958066828}
drone_nominal {'update': 6, 'loss': 2.413117714276854, 'best_loss': 2.413117714276854}
drone_nominal {'update': 7, 'loss': 2.4131170232863135, 'best_loss': 2.4131170232863135}
drone_nominal {'delay_s': 0.06, 'windows': 80}
drone_nominal {'update': 1, 'loss': 2.604068974346963, 'best_loss': 2.604068974346963}
drone_nominal {'update': 2, 'loss': 2.5957599490789773, 'best_loss': 2.5957599490789773}
drone_nominal {'update': 3, 'loss': 2.594932992320681, 'best_loss': 2.594932992320681}
drone_nominal {'update': 4, 'loss': 2.5948455638158325, 'best_loss': 2.5948455638158325}
drone_nominal {'update': 5, 'loss': 2.5948353012384824, 'best_loss': 2.5948353012384824}
