epoch,loss,body_loss,endpoint1_loss,endpoint2_loss,boundary_loss,val_score,val_iou,val_dice,body_iou,endpoint1_iou,endpoint2_iou,endpoint1_f1,endpoint2_f1,threshold_body,threshold_endpoint1,threshold_endpoint2,lr,seconds
1,3.1761090629979183,1.014052949453655,1.0672667528453625,1.074943881285818,0.09922752823484571,0.45455422512626664,0.3574007682042117,0.525923896437328,0.35151598779614407,0.3251078766445415,0.39557844017194954,0.6891891891891893,0.8444444444444444,0.39999999999999997,0.44999999999999996,0.5499999999999999,0.0009996222277579543,44.19305992126465
2,2.9751698092410437,0.929000336872904,1.0177617135800814,1.0181181117107994,0.051448227151444086,0.8320541412972627,0.7581737234891901,0.862090705212149,0.784267049445199,0.7141436244280883,0.7761104965942831,0.9929078014184397,0.9859154929577464,0.6,0.7,0.65,0.0009984894935292329,21.710786819458008
3,2.8442980239265845,0.8228016307479457,1.0058898298363936,1.0085412389353703,0.035326896431414706,0.8024401113326799,0.7315801073005753,0.8432520096989832,0.8092447573715843,0.739299655176338,0.6461959093538041,0.9859154929577465,0.8375,0.85,0.7999999999999999,0.95,0.0009966035439079141,21.605403184890747
4,2.664555047687731,0.6501219649063913,1.0014401140965914,1.006619908307728,0.03186550059993016,0.8534446663174273,0.7903388796355898,0.8826103490833029,0.8305027807461283,0.7746552172781681,0.7658586408824731,0.9859154929577465,0.9517241379310345,0.9,0.85,0.85,0.0009939672868916176,21.353864192962646
5,2.4397732709583484,0.43679961875865336,0.9984816783352902,0.9987293544568514,0.028813087724541362,0.862743920758655,0.8022443632731519,0.8900489656300596,0.8382537219299264,0.7799861940920235,0.7884931737975057,0.979020979020979,0.971830985915493,0.9,0.85,0.9,0.000990584787397583,22.414761781692505
6,2.26374478089182,0.2764388840449484,0.9894348728029352,0.9929219045137104,0.02474555382995229,0.8768347069403821,0.8181773837666592,0.899789789179926,0.8532515983792938,0.7960702176655057,0.8052103352551783,0.993006993006993,0.9787234042553191,0.85,0.9,0.9,0.0009864612609948615,21.72065258026123
7,2.206496263805189,0.2312382483168652,0.9812908392203482,0.9889573611711201,0.025049036368727684,0.8819306747929225,0.8225729122630941,0.9023551790548711,0.8649611514536977,0.8040143641941544,0.7987432211414307,0.993006993006993,0.9787234042553191,0.7999999999999999,0.95,0.95,0.0009816030658622871,20.654388427734375
8,2.1369544706846537,0.20993396326115257,0.9428656258081135,0.9796942033265766,0.022303246353801928,0.8895829218584113,0.8356769988550173,0.9102711965494324,0.8720281896239982,0.8195587157836578,0.8154440911573964,0.993006993006993,0.9787234042553191,0.7999999999999999,0.9,0.9,0.0009760176929846253,20.984527349472046
9,1.9313749702353227,0.19678616837451332,0.768381151713823,0.9619209201712358,0.021433705758107335,0.8848392873942112,0.8280737907056898,0.9056853654450352,0.866754175807056,0.7983068537631914,0.8191603425468217,0.993006993006993,0.9787234042553191,0.85,0.9,0.9,0.0009697137546020174,22.293586492538452
10,1.5522755698153847,0.19513325863762906,0.47155161907798365,0.881450006836339,0.02070347827516104,0.8877337983814345,0.8313652782493626,0.9076196549109713,0.8723436901452848,0.8221398684997011,0.7996122761031018,0.993006993006993,0.9787234042553191,0.7999999999999999,0.9,0.95,0.0009627009709305306,22.586148262023926
11,1.2229170548288446,0.19639353924675992,0.41809953513898346,0.6041873175846902,0.02118339320938838,0.8918458595928695,0.8402806429797165,0.913020710342381,0.8730367887962209,0.8329177057356608,0.8148874344072674,0.993006993006993,0.9787234042553191,0.85,0.9,0.95,0.0009549901551742899,22.69662117958069
12,1.0185685189146745,0.20929237729624697,0.4051904764614607,0.39959304505272913,0.022463037779456692,0.8893713612835789,0.8397907653158976,0.9128208676540067,0.8646717718797835,0.8284035729272825,0.8262969511406271,0.993006993006993,0.9787234042553191,0.85,0.9,0.9,0.0009465931968523003,21.751507997512817
13,0.8612838167893259,0.18804326575053365,0.3306042646106921,0.33829696084323685,0.021696668020204493,0.8946200145506502,0.8513666911168002,0.9196573986431248,0.8690521209183577,0.835497465339278,0.8495504870927645,0.993006993006993,0.971830985915493,0.75,0.85,0.7999999999999999,0.0009375230434656707,22.416420459747314
14,0.7997340654072008,0.17293213072576022,0.27075952840478795,0.35190222608415705,0.02070093164710622,0.8981212983396712,0.8573679739723156,0.9231630953186606,0.8722893195942526,0.8431056900501517,0.8567089122725423,0.993006993006993,0.971830985915493,0.7999999999999999,0.85,0.85,0.0009277936805335053,21.730536699295044
15,0.7495826325918499,0.1571841553637856,0.2773401862696597,0.3108031679140894,0.021275552479844344,0.9011018392622167,0.8622681723990403,0.9260071567002056,0.8753736088022762,0.8498565983387756,0.8615743100560693,0.993006993006993,0.971830985915493,0.75,0.7999999999999999,0.7999999999999999,0.0009174201100282474,21.849396467208862
16,0.7223561719844216,0.15337262028142026,0.26868721058494166,0.296195241181474,0.020505541641461223,0.9029862564705496,0.8655777098862117,0.9279193379765123,0.8769922730697777,0.8541928037336277,0.8655480528552302,0.993006993006993,0.971830985915493,0.7999999999999999,0.85,0.85,0.0009064183272437245,22.49580693244934
17,0.7973329911106511,0.17558790900205312,0.2946534541092421,0.32294170401598277,0.02074960060417652,0.9024566270560573,0.864558308668936,0.9273365635052419,0.8767052870509243,0.8567107563004376,0.8602588826554465,0.993006993006993,0.971830985915493,0.85,0.7999999999999999,0.9,0.0008948052961315652,21.941078662872314
18,0.7782686682123887,0.17390725644011246,0.2825257346818322,0.31764358870292964,0.020960434192889614,0.903467598809684,0.8665053609975578,0.9284602503819156,0.8773053769796503,0.8592683200818803,0.8629423859311431,0.993006993006993,0.971830985915493,0.9,0.85,0.9,0.0008825989231440154,21.907538175582886
19,0.6922619389860254,0.15071921874033778,0.24704229439559736,0.29059163833919327,0.019544075684327828,0.9046856973537852,0.8680562428854687,0.9293472634526107,0.8792578687994744,0.8593665995673972,0.8655442602895342,0.993006993006993,0.971830985915493,0.85,0.85,0.85,0.0008698180296234861,21.764342308044434
20,0.7263716114194769,0.1583140923788673,0.2565176557553442,0.3076544380501697,0.01942720528888075,0.9057270688514569,0.8694193416028114,0.9301268475133613,0.88087923975002,0.8604266205184155,0.8669521645399988,0.993006993006993,0.971830985915493,0.7999999999999999,0.85,0.85,0.0008564823227814085,22.51475739479065
