time_s,p_cmd_x,p_cmd_y,p_cmd_z,v_cmd_x,v_cmd_y,v_cmd_z,a_cmd_x,a_cmd_y,a_cmd_z,yaw_cmd,omega_cmd_x,omega_cmd_y,omega_cmd_z
0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999776482582,1.428571340511553e-05,0.0,1.5,0.004285714123398066,0.0,0.0,0.8571428060531616,0.0,0.0,0.0,0.0,0.0,0.0
0.019999999552965164,0.00011428570724092424,0.0,1.5,0.017142854630947113,0.0,0.0,1.7142856121063232,0.0,0.0,0.0,0.0,0.0,0.0
0.029999999329447746,0.0003857142583001405,0.0,1.5,0.038571424782276154,0.0,0.0,2.5714282989501953,0.0,0.0,0.0,0.0,0.0,0.0
0.03999999910593033,0.0009142856579273939,0.0,1.5,0.06857141852378845,0.0,0.0,3.4285712242126465,0.0,0.0,0.0,0.0,0.0,0.0
0.04999999701976776,0.00178571417927742,0.0,1.5,0.1071428433060646,0.0,0.0,4.285714149475098,0.0,0.0,0.0,0.0,0.0,0.0
0.05999999865889549,0.003085714066401124,0.0,1.5,0.15428569912910461,0.0,0.0,5.142856597900391,0.0,0.0,0.0,0.0,0.0,0.0
0.07000000029802322,0.004899999592453241,0.0,1.5,0.20999997854232788,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07999999821186066,0.007304761093109846,0.0,1.5,0.27142855525016785,0.0,0.0,6.285714149475098,0.0,0.0,0.0,0.0,0.0,0.0
0.08999999612569809,0.01033809408545494,0.0,1.5,0.33571428060531616,0.0,0.0,6.571428298950195,0.0,0.0,0.0,0.0,0.0,0.0
0.09999999403953552,0.014028569683432579,0.0,1.5,0.40285712480545044,0.0,0.0,6.857142448425293,0.0,0.0,0.0,0.0,0.0,0.0
0.10999999940395355,0.018404759466648102,0.0,1.5,0.47285711765289307,0.0,0.0,7.142857551574707,0.0,0.0,0.0,0.0,0.0,0.0
0.11999999731779099,0.023495234549045563,0.0,1.5,0.545714259147644,0.0,0.0,7.4285712242126465,0.0,0.0,0.0,0.0,0.0,0.0
0.12999999523162842,0.029328567907214165,0.0,1.5,0.6214285492897034,0.0,0.0,7.714285850524902,0.0,0.0,0.0,0.0,0.0,0.0
0.14000000059604645,0.03593333065509796,0.0,1.5,0.699999988079071,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14999999105930328,0.043333329260349274,0.0,1.5,0.7799999713897705,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1599999964237213,0.051533326506614685,0.0,1.5,0.85999995470047,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17000000178813934,0.060533326119184494,0.0,1.5,0.9399999380111694,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17999999225139618,0.0703333243727684,0.0,1.5,1.0199999809265137,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1899999976158142,0.08093332499265671,0.0,1.5,1.100000023841858,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19999998807907104,0.09233332425355911,0.0,1.5,1.1800000667572021,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20999999344348907,0.10453332215547562,0.0,1.5,1.2600001096725464,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2199999988079071,0.11752379685640335,0.0,1.5,1.3371429443359375,0.0,0.0,7.428570747375488,0.0,0.0,0.0,0.0,0.0,0.0
0.22999998927116394,0.13125713169574738,0.0,1.5,1.408571481704712,0.0,0.0,6.857142448425293,0.0,0.0,0.0,0.0,0.0,0.0
0.23999999463558197,0.14567618072032928,0.0,1.5,1.4742857217788696,0.0,0.0,6.285715103149414,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.16072380542755127,0.0,1.5,1.5342856645584106,0.0,0.0,5.714284896850586,0.0,0.0,0.0,0.0,0.0,0.0
0.25999999046325684,0.17634284496307373,0.0,1.5,1.5885714292526245,0.0,0.0,5.142857551574707,0.0,0.0,0.0,0.0,0.0,0.0
