preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_nominal {'update': 6, 'loss': 5.072687777509528, 'best_loss': 5.072687777509528}
drone_nominal {'update': 7, 'loss': 5.07232510656046, 'best_loss': 5.07232510656046}
drone_nominal {'update': 8, 'loss': 5.072233682972225, 'best_loss': 5.072233682972225}
drone_nominal {'update': 9, 'loss': 5.072209604452163, 'best_loss': 5.072209604452163}
drone_nominal {'update': 10, 'loss': 5.072202723053526, 'best_loss': 5.072202723053526}
drone_nominal {'update': 11, 'loss': 5.072200605225277, 'best_loss': 5.072200605225277}
attitude response {'windows': 81}
attitude response {'update': 1, 'loss': 0.8263868721197059, 'best_loss': 0.8263868721197059}
attitude response {'update': 2, 'loss': 0.8261042546468174, 'best_loss': 0.8261042546468174}
attitude response {'update': 3, 'loss': 0.8260832157353335, 'best_loss': 0.8260832157353335}
attitude response {'update': 4, 'loss': 0.8260813660124282, 'best_loss': 0.8260813660124282}
attitude response {'update': 5, 'loss': 0.826081181747236, 'best_loss': 0.826081181747236}
drone_residual graph preparation {'windows': 81}
[W915 03:01:20.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
drone_residual {'update': 1, 'best_loss': 1.901664694429495, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 2, 'best_loss': 1.901664694429495, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 3, 'best_loss': 1.901664694429495, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 4, 'best_loss': 1.901664694429495, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 5, 'best_loss': 1.901664694429495, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 6, 'best_loss': 1.8800327826632302, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 7, 'best_loss': 1.8800327826632302, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 8, 'best_loss': 1.8800327826632302, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 9, 'best_loss': 1.8800327826632302, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 10, 'best_loss': 1.8800327826632302, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 11, 'best_loss': 1.873609776314018, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 12, 'best_loss': 1.873609776314018, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 13, 'best_loss': 1.873609776314018, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 14, 'best_loss': 1.873609776314018, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 15, 'best_loss': 1.873609776314018, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 16, 'best_loss': 1.8709520563270021, 'stopping': 'practical plateau; no update ceiling'}
