Evaluating frozen parent before any update {}
combined validation M6
[W915 19:28:16.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_nominal {'update': 7, 'loss': 4.178851419039966, 'best_loss': 4.178851419039966}
drone_nominal {'delay_s': 0.1, 'windows': 81}
drone_nominal {'update': 1, 'loss': 5.1926284069234345, 'best_loss': 5.1926284069234345}
drone_nominal {'update': 2, 'loss': 5.139660855731706, 'best_loss': 5.139660855731706}
drone_nominal {'update': 3, 'loss': 5.131119519964034, 'best_loss': 5.131119519964034}
drone_nominal {'update': 4, 'loss': 5.128823088850191, 'best_loss': 5.128823088850191}
drone_nominal {'update': 5, 'loss': 5.128197150055662, 'best_loss': 5.128197150055662}
drone_nominal {'update': 6, 'loss': 5.1280254550169735, 'best_loss': 5.1280254550169735}
drone_nominal {'update': 7, 'loss': 5.127977694107095, 'best_loss': 5.127977694107095}
drone_nominal {'update': 8, 'loss': 5.127964177699969, 'best_loss': 5.127964177699969}
drone_nominal {'delay_s': 0.12, 'windows': 81}
drone_nominal {'update': 1, 'loss': 6.507555150169748, 'best_loss': 6.507555150169748}
drone_nominal {'update': 2, 'loss': 6.409047738289678, 'best_loss': 6.409047738289678}
drone_nominal {'update': 3, 'loss': 6.387878697101519, 'best_loss': 6.387878697101519}
drone_nominal {'update': 4, 'loss': 6.381115306988686, 'best_loss': 6.381115306988686}
drone_nominal {'update': 5, 'loss': 6.378725580534099, 'best_loss': 6.378725580534099}
drone_nominal {'update': 6, 'loss': 6.377877641581662, 'best_loss': 6.377877641581662}
drone_nominal {'update': 7, 'loss': 6.377575155508302, 'best_loss': 6.377575155508302}
drone_nominal {'update': 8, 'loss': 6.377466148511949, 'best_loss': 6.377466148511949}
drone_nominal {'update': 9, 'loss': 6.377426379892871, 'best_loss': 6.377426379892871}
attitude response {'windows': 81}
attitude response {'update': 1, 'loss': 0.8823753672492927, 'best_loss': 0.8823753672492927}
attitude response {'update': 2, 'loss': 0.8815108747317392, 'best_loss': 0.8815108747317392}
attitude response {'update': 3, 'loss': 0.8814756643003331, 'best_loss': 0.8814756643003331}
attitude response {'update': 4, 'loss': 0.8814741416074953, 'best_loss': 0.8814741416074953}
attitude response {'update': 5, 'loss': 0.8814740721866124, 'best_loss': 0.8814740721866124}
drone_residual graph preparation {'windows': 81}
drone_residual {'update': 1, 'best_loss': 3.5934418497983804, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 2, 'best_loss': 3.5934418497983804, 'stopping': 'practical plateau; no update ceiling'}
